FPGA idle power [mW]:,4066.5

Program energy [mJ]:,19.83

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,-1.0
20000,0.001,23.6
40000,0.002,30.8
60000,0.003,23.6
80000,0.004,16.5
100000,0.005,29.4
120000,0.006,19.3
140000,0.007,78.3
160000,0.008,114.3
180000,0.009,242.2
200000,0.010,256.7
220000,0.011,262.5
240000,0.012,246.6
260000,0.013,232.3
280000,0.014,256.7
300000,0.015,245.2
320000,0.016,223.6
340000,0.017,236.6
360000,0.018,200.4
380000,0.019,111.4
400000,0.020,115.7
420000,0.021,114.3
440000,0.022,177.6
460000,0.023,164.6
480000,0.024,220.7
500000,0.025,252.4
520000,0.026,245.2
540000,0.027,212.8
560000,0.028,210.7
580000,0.029,200.6
600000,0.030,193.4
620000,0.031,240.9
640000,0.032,268.2
660000,0.033,265.3
680000,0.034,235.1
700000,0.035,253.8
720000,0.036,277.8
740000,0.037,258.1
760000,0.038,243.8
780000,0.039,239.4
800000,0.040,222.2
820000,0.041,153.1
840000,0.042,145.9
860000,0.043,118.6
880000,0.044,199.2
900000,0.045,229.8
920000,0.046,192.0
940000,0.047,112.8
960000,0.048,164.6
980000,0.049,140.2
1000000,0.050,112.8
1020000,0.051,150.2
1040000,0.052,266.8
1060000,0.053,275.4
1080000,0.054,245.3
1100000,0.055,253.8
1120000,0.056,269.7
1140000,0.057,265.3
1160000,0.058,268.2
1180000,0.059,275.4
1200000,0.060,266.8
1220000,0.061,183.3
1240000,0.062,127.2
1260000,0.063,178.7
1280000,0.064,176.1
1300000,0.065,130.1
1320000,0.066,122.9
1340000,0.067,128.7
1360000,0.068,131.5
1380000,0.069,151.7
1400000,0.070,115.7
1420000,0.071,115.7
1440000,0.072,141.5
1460000,0.073,265.3
1480000,0.074,242.3
1500000,0.075,274.0
1520000,0.076,276.9
1540000,0.077,248.1
1560000,0.078,261.0
1580000,0.079,269.7
1600000,0.080,266.8
1620000,0.081,277.8
1640000,0.082,255.3
1660000,0.083,110.0
1680000,0.084,33.7
1700000,0.085,42.3
1720000,0.086,36.6
1740000,0.087,29.4
1760000,0.088,30.8
1780000,0.089,33.7
1800000,0.090,28.4
1820000,0.091,29.4
1840000,0.092,39.5
1860000,0.093,33.7
1880000,0.094,19.3
1900000,0.095,29.4
1920000,0.096,32.3
1940000,0.097,32.3
1960000,0.098,26.5
1980000,0.099,34.6
2000000,0.100,25.1
2020000,0.101,23.6
2040000,0.102,23.6
2060000,0.103,22.2
2080000,0.104,17.9
2100000,0.105,20.8
2120000,0.106,29.4
2140000,0.107,22.2
2160000,0.108,20.7
2180000,0.109,15.0
2200000,0.110,23.6
2220000,0.111,20.8
2240000,0.112,17.9
2260000,0.113,19.3
2280000,0.114,29.4
2300000,0.115,20.8
2320000,0.116,17.9
2340000,0.117,23.8
2360000,0.118,22.2
2380000,0.119,17.9
2400000,0.120,25.1
2420000,0.121,17.9
2440000,0.122,22.2
2460000,0.123,23.6
2480000,0.124,29.4
2500000,0.125,22.2
2520000,0.126,19.1
2540000,0.127,22.2
2560000,0.128,32.3
2580000,0.129,29.4
2600000,0.130,40.9
2620000,0.131,29.4
2640000,0.132,26.5
2660000,0.133,29.4
2680000,0.134,42.3
2700000,0.135,34.6
2720000,0.136,38.0
2740000,0.137,35.2
2760000,0.138,36.6
2780000,0.139,36.6
2800000,0.140,40.9
2820000,0.141,33.7
2840000,0.142,42.3
2860000,0.143,42.3
2880000,0.144,28.4
2900000,0.145,42.3
2920000,0.146,36.6
2940000,0.147,40.9
2960000,0.148,38.0
2980000,0.149,30.8
3000000,0.150,45.2
3020000,0.151,36.6
3040000,0.152,33.7
3060000,0.153,48.5
3080000,0.154,39.5
3100000,0.155,36.6
3120000,0.156,38.0
3140000,0.157,36.6
3160000,0.158,36.6
3180000,0.159,32.3
3200000,0.160,38.0
3220000,0.161,42.3
3240000,0.162,34.6
3260000,0.163,43.8
3280000,0.164,32.3
3300000,0.165,28.0
3320000,0.166,40.9
3340000,0.167,42.3
3360000,0.168,30.8
3380000,0.169,46.7
3400000,0.170,46.7
3420000,0.171,36.1
3440000,0.172,36.6
3460000,0.173,38.0
3480000,0.174,33.7
3500000,0.175,36.6
3520000,0.176,25.1
3540000,0.177,46.7
3560000,0.178,43.8
3580000,0.179,32.3
3600000,0.180,39.2
3620000,0.181,35.2
3640000,0.182,23.6
3660000,0.183,25.1
3680000,0.184,26.5
3700000,0.185,22.2
3720000,0.186,30.8
3740000,0.187,23.6
3760000,0.188,22.2
3780000,0.189,26.9
3800000,0.190,23.6
3820000,0.191,20.8
3840000,0.192,28.0
3860000,0.193,23.6
3880000,0.194,16.5
3900000,0.195,17.9
3920000,0.196,13.6
3940000,0.197,20.8
3960000,0.198,6.7
3980000,0.199,15.0
4000000,0.200,17.9
4020000,0.201,13.6
4040000,0.202,16.5
4060000,0.203,25.1
4080000,0.204,12.1
4100000,0.205,17.9
4120000,0.206,12.1
4140000,0.207,12.9
4160000,0.208,20.8
4180000,0.209,19.3
4200000,0.210,17.9
4220000,0.211,22.2
4240000,0.212,16.5
4260000,0.213,19.3
4280000,0.214,19.3
4300000,0.215,7.8
4320000,0.216,20.7
4340000,0.217,12.1
4360000,0.218,2.1
4380000,0.219,2.1
